MuestraControl,LoteLabID,FechaReporte,MuestraID,Cu ppm
STD10,64,14-03-14,4493,419
STD10,64,14-03-14,4465,425
STD10,64,14-03-14,4530,425
STD10,65,15-03-14,4565,426
STD10,65,15-03-14,4630,425
STD10,65,15-03-14,4593,420
STD10,66,15-03-14,8130,429
STD10,66,15-03-14,8165,412
STD10,66,15-03-14,8193,420
STD10,66,15-03-14,8230,414
STD10,67,16-03-14,8330,422
STD10,67,16-03-14,8265,425
STD10,67,16-03-14,8293,425
STD10,68,16-03-14,8365,423
STD10,68,16-03-14,8430,425
STD10,68,16-03-14,8465,419
STD10,68,16-03-14,8393,414
STD10,69,17-03-14,8593,425
STD10,69,17-03-14,8565,418
STD10,69,17-03-14,8530,425
STD10,69,17-03-14,8493,422
STD10,70,17-03-14,8693,416
STD10,70,17-03-14,8665,412
STD10,70,17-03-14,8630,423
STD10,71,18-03-14,4793,423
STD10,71,18-03-14,4765,425
STD10,71,18-03-14,4730,418
STD10,118,19-03-14,70065,427
STD10,118,19-03-14,70093,423
STD10,118,19-03-14,70030,429
STD10,72,20-03-14,4830,423
STD10,72,20-03-14,4865,412
STD10,72,20-03-14,4893,419
STD10,119,20-03-14,75093,418
STD10,119,20-03-14,75065,420
STD10,119,20-03-14,75030,429
STD10,73,21-03-14,4993,421
STD10,73,21-03-14,10030,417
STD10,73,21-03-14,4965,418
STD10,73,21-03-14,4930,429
STD10,74,21-03-14,10130,420
STD10,74,21-03-14,10093,427
STD10,74,21-03-14,10065,425
STD10,75,22-03-14,10165,431
STD10,75,22-03-14,10193,427
STD10,75,22-03-14,10230,417
STD10,75,22-03-14,10265,425
STD10,76,22-03-14,10293,421
STD10,76,22-03-14,10330,422
STD10,76,22-03-14,10365,414
STD10,76,22-03-14,10393,418
STD10,77,23-03-14,8793,414
STD10,77,23-03-14,8765,418
STD10,77,23-03-14,8730,419
STD10,77,23-03-14,8830,425
STD10,120,23-03-14,75230,427
STD10,120,23-03-14,75193,423
STD10,120,23-03-14,75165,416
STD10,120,23-03-14,75130,420
STD10,121,24-03-14,70165,421
STD10,121,24-03-14,70193,426
STD10,121,24-03-14,70130,420
STD10,121,24-03-14,70230,420
STD10,122,24-03-14,75330,429
STD10,122,24-03-14,75293,425
STD10,122,24-03-14,75265,424
STD10,123,25-03-14,70293,420
STD10,123,25-03-14,70265,427
STD10,123,25-03-14,70330,417
STD10,124,25-03-14,75465,422
STD10,124,25-03-14,75430,431
STD10,124,25-03-14,75365,429
STD10,124,25-03-14,75393,429
STD10,125,26-03-14,70430,425
STD10,125,26-03-14,70393,425
STD10,125,26-03-14,70465,425
STD10,125,26-03-14,70365,434
STD10,126,26-03-14,75565,425
STD10,126,26-03-14,75530,427
STD10,126,26-03-14,75493,429
STD10,126,26-03-14,75593,421
STD10,78,27-03-14,8865,416
STD10,78,27-03-14,8930,427
STD10,78,27-03-14,8893,419
STD10,127,27-03-14,70593,425
STD10,127,27-03-14,70530,424
STD10,127,27-03-14,70493,427
STD10,127,27-03-14,70565,427
STD10,128,28-03-14,75693,427
STD10,128,28-03-14,75665,423
STD10,128,28-03-14,75630,429
STD10,129,28-03-14,75730,431
STD10,129,28-03-14,75765,431
STD10,129,28-03-14,75830,427
STD10,129,28-03-14,75793,429
STD10,79,29-03-14,8965,431
STD10,79,29-03-14,9030,431
STD10,79,29-03-14,9065,426
STD10,79,29-03-14,8993,431
STD10,130,29-03-14,70630,427
STD10,130,29-03-14,70693,427
STD10,130,29-03-14,70665,427
STD10,131,30-03-14,70830,418
STD10,131,30-03-14,70793,421
STD10,131,30-03-14,70765,412
