MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
15874,11,15876,5,113,41755,DG
15919,5,15926,5,114,41756,DG
15974,5,15976,5,114,41756,DG
16019,5,16026,5,115,41756,DG
16074,5,16076,5,115,41756,DG
16119,5,16126,13,115,41756,DG
16173,5,16176,5,116,41757,DG
70019,5,70026,5,118,41717,DG
70074,5,70076,5,118,41717,DG
70119,34,70126,38,118,41717,DG
70174,34,70176,36,121,41722,DG
70219,25,70226,25,121,41722,DG
70274,17,70276,19,123,41723,DG
70319,5,70326,5,123,41723,DG
70371,5,70376,5,125,41724,DG
70419,5,70426,5,125,41724,DG
70474,5,70476,5,125,41724,DG
70519,13,70526,13,127,41725,DG
70574,30,70576,30,127,41725,DG
70619,334,70626,332,130,41727,DG
70674,161,70676,165,130,41727,DG
70719,13,70726,5,130,41727,DG
70773,13,70776,13,131,41728,DG
70819,15,70826,15,131,41728,DG
70874,5,70876,15,132,41728,DG
70919,230,70926,211,132,41728,DG
70974,61,70976,63,134,41729,DG
71074,13,71076,13,134,41729,DG
71124,25,71126,25,137,41737,DG
71174,112,71176,114,137,41737,DG
71219,34,71226,34,138,41739,DG
71274,5,71276,5,138,41739,DG
75019,5,75026,5,119,41718,DG
75074,25,75076,19,119,41718,DG
75119,70,75126,101,119,41718,DG
75173,72,75176,68,120,41721,DG
75220,78,75226,89,120,41721,DG
75273,13,75276,27,122,41722,DG
75319,19,75326,27,122,41722,DG
75374,5,75376,5,124,41723,DG
75419,5,75426,5,124,41723,DG
75474,23,75476,25,124,41723,DG
75519,304,75526,309,126,41724,DG
75574,169,75576,175,126,41724,DG
75618,171,75626,169,128,41726,DG
75674,74,75676,82,128,41726,DG
75719,186,75726,186,128,41726,DG
75773,87,75776,89,129,41726,DG
75819,27,75826,34,129,41726,DG
75874,66,75876,59,133,41729,DG
75919,289,75926,353,133,41729,DG
75974,49,75976,44,135,41734,DG
76019,5,76026,5,135,41734,DG
76074,5,76076,5,135,41734,DG
76119,40,76126,36,136,41736,DG
76174,5,76176,5,136,41736,DG
80024,522,80026,507,139,41739,DG
80073,186,80076,266,139,41739,DG
80119,146,80126,156,139,41739,DG
80174,171,80176,188,140,41741,DG
80219,459,80226,444,140,41741,DG
80274,5,80276,5,141,41741,DG
80319,13,80326,13,141,41741,DG
80374,125,80376,131,142,41742,DG
